ID,Source,Audience Type,Parent,Child,Grandchild,Great - Grandchild,Great Great Grandchild,
107,Google,Affinity Audience,Sports & Fitness,Sports Fans,Fight & Wrestling Fans,,,
108,Google,Affinity Audience,Sports & Fitness,Sports Fans,Golf Enthusiasts,,,
109,Google,Affinity Audience,Sports & Fitness,Sports Fans,Hockey Fans,,,
110,Google,Affinity Audience,Sports & Fitness,Sports Fans,Motor Sports Enthusiasts,,,
111,Google,Affinity Audience,Sports & Fitness,Sports Fans,Racquetball Enthusiasts,,,
112,Google,Affinity Audience,Sports & Fitness,Sports Fans,Rugby Enthusiasts,,,
113,Google,Affinity Audience,Sports & Fitness,Sports Fans,Running Enthusiasts,,,
114,Google,Affinity Audience,Sports & Fitness,Sports Fans,Skiing Enthusiasts,,,
115,Google,Affinity Audience,Sports & Fitness,Sports Fans,Soccer Fans,,,
116,Google,Affinity Audience,Sports & Fitness,Sports Fans,Swimming Enthusiasts,,,
117,Google,Affinity Audience,Sports & Fitness,Sports Fans,Tennis Enthusiasts,,,
118,Google,Affinity Audience,Sports & Fitness,Sports Fans,Water Sports Enthusiasts,,,
119,Google,Affinity Audience,Sports & Fitness,Sports Fans,Winter Sports Enthusiasts,,,
120,Google,Affinity Audience,Technology,,,,,
121,Google,Affinity Audience,Technology,Mobile Enthusiasts,,,,
122,Google,Affinity Audience,Technology,Social Media Enthusiasts,,,,
123,Google,Affinity Audience,Technology,Technophiles,,,,
124,Google,Affinity Audience,Technology,Technophiles,Audiophiles,,,
125,Google,Affinity Audience,Technology,Technophiles,Cloud Services Power Users,,,
126,Google,Affinity Audience,Technology,Technophiles,High-End Computer Aficionados,,,
127,Google,Affinity Audience,Technology,Technophiles,Home Automation Enthusiasts,,,
128,Google,Affinity Audience,Travel,Business Travelers,,,,
129,Google,Affinity Audience,Travel,Travel Buffs,,,,
130,Google,Affinity Audience,Travel,Travel Buffs,Beachbound Travelers,,,
131,Google,Affinity Audience,Travel,Travel Buffs,Family Vacationers,,,
132,Google,Affinity Audience,Travel,Travel Buffs,Luxury Travelers,,,
133,Google,Affinity Audience,Travel,Travel Buffs,Snowbound Travelers,,,
134,Google,Affinity Audience,Vehicles & Transportation,,,,,
135,Google,Affinity Audience,Vehicles & Transportation,Auto Enthusiasts,,,,
136,Google,Affinity Audience,Vehicles & Transportation,Auto Enthusiasts,Motorcycle Enthusiasts,,,
137,Google,Affinity Audience,Vehicles & Transportation,Auto Enthusiasts,Performance & Luxury Vehicle Enthusiasts,,,
138,Google,Affinity Audience,Vehicles & Transportation,Auto Enthusiasts,Truck & SUV Enthusiasts,,,
139,Google,Affinity Audience,Vehicles & Transportation,Transportation Modes,,,,
140,Google,Affinity Audience,Vehicles & Transportation,Transportation Modes,Public Transit Users,,,
141,Google,Affinity Audience,Vehicles & Transportation,Transportation Modes,Taxi Service Users,,,
142,Google,In-market audiences,Apparel & Accessories,,,,,
143,Google,In-market audiences,Apparel & Accessories,Activewear,,,,
144,Google,In-market audiences,Apparel & Accessories,Backpacks,,,,
145,Google,In-market audiences,Apparel & Accessories,Costumes,,,,
146,Google,In-market audiences,Apparel & Accessories,Eyewear,,,,
147,Google,In-market audiences,Apparel & Accessories,Eyewear,Sunglasses,,,
148,Google,In-market audiences,Apparel & Accessories,Formal Wear,,,,
149,Google,In-market audiences,Apparel & Accessories,Formal Wear,Bridal Wear,,,
150,Google,In-market audiences,Apparel & Accessories,Formal Wear,Suits & Business Attire,,,
151,Google,In-market audiences,Apparel & Accessories,Handbags,,,,
152,Google,In-market audiences,Apparel & Accessories,Hats,,,,
153,Google,In-market audiences,Apparel & Accessories,Jewelry & Watches,,,,
154,Google,In-market audiences,Apparel & Accessories,Jewelry & Watches,Fine Jewelry,,,
155,Google,In-market audiences,Apparel & Accessories,Jewelry & Watches,Fine Jewelry,Necklaces,,
156,Google,In-market audiences,Apparel & Accessories,Jewelry & Watches,Watches,,,
157,Google,In-market audiences,Apparel & Accessories,Jewelry & Watches,Wedding & Engagement Rings,,,
158,Google,In-market audiences,Apparel & Accessories,Lingerie,,,,
159,Google,In-market audiences,Apparel & Accessories,Luggage,,,,
160,Google,In-market audiences,Apparel & Accessories,Men's Apparel,,,,
161,Google,In-market audiences,Apparel & Accessories,Outerwear,,,,
162,Google,In-market audiences,Apparel & Accessories,Pants,,,,
163,Google,In-market audiences,Apparel & Accessories,Shirts & Tops,,,,
164,Google,In-market audiences,Apparel & Accessories,Shoes,,,,
165,Google,In-market audiences,Apparel & Accessories,Shoes,Athletic Shoes,,,
166,Google,In-market audiences,Apparel & Accessories,Shoes,Boots,,,
167,Google,In-market audiences,Apparel & Accessories,Shoes,Dress Shoes,,,
168,Google,In-market audiences,Apparel & Accessories,Socks,,,,
169,Google,In-market audiences,Apparel & Accessories,Swimwear,,,,
170,Google,In-market audiences,Apparel & Accessories,Underwear,,,,
171,Google,In-market audiences,Apparel & Accessories,"Wallets, Briefcases & Leather Goods",,,,
172,Google,In-market audiences,Apparel & Accessories,Women's Apparel,,,,
173,Google,In-market audiences,Arts & Crafts Supplies,,,,,
174,Google,In-market audiences,Autos & Vehicles,,,,,
175,Google,In-market audiences,Autos & Vehicles,Auto Parts & Accessories,,,,
176,Google,In-market audiences,Autos & Vehicles,Auto Parts & Accessories,Auto Exterior Parts & Accessories,,,
177,Google,In-market audiences,Autos & Vehicles,Auto Parts & Accessories,Auto Interior Parts & Accessories,,,
178,Google,In-market audiences,Autos & Vehicles,Auto Parts & Accessories,Automotive Electronic Components,,,
179,Google,In-market audiences,Autos & Vehicles,Auto Parts & Accessories,Car Batteries,,,
180,Google,In-market audiences,Autos & Vehicles,Auto Parts & Accessories,Car Brakes,,,
181,Google,In-market audiences,Autos & Vehicles,Auto Parts & Accessories,Engine & Transmission,,,
