"A2: field_name (e.g., Hello World)","B2: field_ref (e.g., fields/example)",,code
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Automotive,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Automotive""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Aviation & Aerospace,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Aviation & Aerospace""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Chemicals,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Chemicals""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Defense & Space,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Defense & Space""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Electrical & Electronic Manufacturing,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Electrical & Electronic Manufacturing""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Food Production,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Food Production""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,"Glass, Ceramics & Concrete","{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Glass, Ceramics & Concrete""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Industrial Automation,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Industrial Automation""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Machinery,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Machinery""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Mechanical Or Industrial Engineering,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Mechanical Or Industrial Engineering""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Packaging & Containers,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Packaging & Containers""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Paper & Forest Products,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Paper & Forest Products""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Plastics,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Plastics""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Railroad Manufacture,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Railroad Manufacture""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Renewables & Environment,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Renewables & Environment""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Shipbuilding,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Shipbuilding""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Textiles,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Textiles""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Market Research,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Market Research""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Marketing &vertising,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Marketing &vertising""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Newspapers,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Newspapers""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Online Media,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Online Media""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Printing,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Printing""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Public Relations & Communications,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Public Relations & Communications""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Publishing,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Publishing""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Translation & Localization,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Translation & Localization""},"
