,Audience Type,Parent,Child,Grandchild,Great - Grandchild,Great Great Grandchild,
282,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Sedans,Sedans (Used),
283,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Sports Cars,,
284,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Sports Cars,Sports Cars (New),
285,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Sports Cars,Sports Cars (Used),
286,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Station Wagons,,
287,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Station Wagons,Station Wagons (New),
288,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Station Wagons,Station Wagons (Used),
289,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Vans & Minivans,,
290,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Vans & Minivans,Vans & Minivans (New),
291,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Vans & Minivans,Vans & Minivans (Used),
292,In-market audiences,Autos & Vehicles,Vehicles (Other),,,,
293,In-market audiences,Autos & Vehicles,Vehicles (Other),Bicycles & Accessories,,,
294,In-market audiences,Autos & Vehicles,Vehicles (Other),Boats & Watercraft,,,
295,In-market audiences,Autos & Vehicles,Vehicles (Other),Campers & RVs,,,
296,In-market audiences,Autos & Vehicles,Vehicles (Other),Commercial Vehicles,,,
297,In-market audiences,Baby & Children's Products,,,,,
298,In-market audiences,Baby & Children's Products,Baby & Children's Apparel,,,,
299,In-market audiences,Baby & Children's Products,Baby & Children's Apparel,Baby & Toddler Apparel,,,
300,In-market audiences,Baby & Children's Products,Baby & Children's Apparel,Children's Apparel,,,
301,In-market audiences,Baby & Children's Products,Child Car Seats,,,,
302,In-market audiences,Baby & Children's Products,Childcare & Education,,,,
303,In-market audiences,Baby & Children's Products,Childcare & Education,Childcare,,,
304,In-market audiences,Baby & Children's Products,Childcare & Education,Early Childhood Education,,,
305,In-market audiences,Baby & Children's Products,Diapers & Baby Hygiene Products,,,,
306,In-market audiences,Baby & Children's Products,Infant & Toddler Feeding,,,,
307,In-market audiences,Baby & Children's Products,Infant & Toddler Feeding,Infant Feeding Supplies,,,
308,In-market audiences,Baby & Children's Products,Infant & Toddler Feeding,Toddler Meals,,,
309,In-market audiences,Baby & Children's Products,Strollers & Baby Carriages,,,,
310,In-market audiences,Baby & Children's Products,Toys,,,,
311,In-market audiences,Beauty & Personal Care,,,,,
